Serial Number,Question,A,B,C,D,Answer,Answer,Appropriateness,Difficulty,Check,Notes,Overall Topic A,Sub Topic A,Overall Topic B,Sub Topic B,Overall Topic C,Sub Topic C,Overall Topic D,Sub Topic D,Overall Topic E,Sub Topic E,Combined Topics,Combined Sub Topics,Hint,Explanation,,,Old Question,Old A,Old B,Old C,Old D
Q001548,You need to plot the graph of \(y = \sin(x + \frac{\pi}{3})\). What is the horizontal translation of your transformed graph?,\(2\pi\),\(\pi\),\(\frac{\pi}{2}\),\(-\frac{\pi}{3}\),D,D,7,6,yes,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,,,,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,You need to plot the graph of y = sin(x + π/3). What is the horizontal translation of your transformed graph?,2π,π,π/2,-π/3
Q001549,You need to plot the graph of \(y = \sin(x - \frac{\pi}{6})\). What is the horizontal translation of your transformed graph?,\(\pi\),\(\frac{2\pi}{3}\),\(\frac{\pi}{3}\),\(\frac{\pi}{6}\),D,D,7,6,yes,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,,,,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,You need to plot the graph of y = sin(x - π/6). What is the horizontal translation of your transformed graph?,π,2π/3,π/3,π/6
Q001550,You need to plot the graph of \(y = \sin(x + \frac{\pi}{8})\). What is the horizontal translation of your transformed graph?,\(\frac{\pi}{2}\),\(-\frac{\pi}{8}\),\(2\pi\),\(4\pi\),B,B,7,6,yes,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,,,,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,You need to plot the graph of y = sin(x + π/8). What is the horizontal translation of your transformed graph?,π/2,-π/8,2π,4π
Q001551,You need to plot the graph of \(y = \sin(x- \frac{\pi}{4})\). What is the period of your transformed graph?,\(\frac{2\pi}{5}\),\(-\frac{\pi}{4}\),\(\frac{\pi}{4}\),\(\frac{2\pi}{10}\),C,C,7,6,yes,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,,,,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,You need to plot the graph of y = sin(x- π/4). What is the period of your transformed graph?,2π/5,-π/4,π/4,2π/10
Q001552,You need to plot the graph of \(y = \sin(6x) + \frac{\pi}{3}\). What is the vertical translation of your transformed graph?,\(\frac{\pi}{3}\),\(-\frac{\pi}{3}\),\(\frac{\pi}{2}\),\(\frac{\pi}{12}\),A,A,7,6,yes,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,,,,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,You need to plot the graph of y = sin(6x) + π/3. What is the vertical translation of your transformed graph?,π/3,-π/3,π/2,π/12
Q001553,You need to plot the graph of \(y = \sin (1.5x)\). How many times does this graph intersect the \(x\) axis in the range \(0\) to \(2\pi\)?,\(2\),\(3\),\(4\),\(5\),C,C,7,6,yes,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,,,,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,You need to plot the graph of y = sin (1.5x). How many times does this graph intersect the x axis in the range 0 to 2π?,2,3,4,5
Q001554,You need to plot the graph of \(y = \sin (2x)\). How many times does this graph intersect the \(y\) axis in the range \(0\) to \(2\pi\)?,\(2\),\(1\),\(4\),\(5\),D,D,7,6,yes,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,,,,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,You need to plot the graph of y = sin (2x). How many times does this graph intersect the y axis in the range 0 to 2π?,2,1,4,5
Q001555,You need to plot the graph of \(y = \sin (3x)\). How many times does this graph intersect the \(y\) axis in the range \(0\) to \(\pi\)?,\(2\),\(3\),\(4\),\(1\),C,C,7,6,yes,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,,,,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,You need to plot the graph of y = sin (3x). How many times does this graph intersect the y axis in the range 0 to π?,2,3,4,1
Q001556,You need to plot the graph of \(y = \sin (x + \frac{\pi}{6})\). What is the horizontal shift of the transformed graph?,\(-\frac{\pi}{6}\),\(\frac{\pi}{3}\),\(\frac{\pi}{2}\),\(\frac{2\pi}{3}\),A,A,7,6,yes,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,,,,,Coordinate Geometry,Coordinate Geometry - Transformations,,,,,You need to plot the graph of y = sin (x + π/6). What is the horizontal shift of the transformed graph?,-π/6,π/3,π/2,2π/3
Q001557,"The function \(f(x)\) is defined by \(f(x) = \frac{2x-3}{x^2+4}\). Its derivative is \(f’(x) = \frac{ax^2 + bx + c}{(x^2 + 4)^2}\) where \(a\), \(b\), and \(c\) are constants to be found. What are the values of these constants?","\(a=-2, b=6, c=8\)","\(a=-2, b=-6, c=4\)","\(a=6, b=6, c=8\)","\(a=-6, b=-6, c=4\)",A,A,7,4,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,"The function f(x) is defined by f(x) = (2x-3) / (x^2+4). Its derivative is f’(x) = (ax^2 + bx + c) / (x^2 + 4)^2 where a, b, and c are constants to be found. What are the values of these constants?","a=-2, b=6, c=8","a=-2, b=-6, c=4","a=6, b=6, c=8","a=-6, b=-6, c=4"
Q001558,"The function \(f(x)\) is defined by \(f(x) = \frac{4x-1}{x^2+1}\). Its derivative is \(f’(x) = \frac{ax^2 + bx + c}{(x^2 + 1)^2}\) where \(a\), \(b\), and \(c\) are constants to be found. What are the values of these constants?","\(a=-4, b=2, c=4\)","\(a=-2, b=4, c=4\)","\(a=-4, b=-2, c=4\)","\(a=-2, b=2, c=4\)",A,A,7,4,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,"The function f(x) is defined by f(x) = (4x-1) / (x^2+1). Its derivative is f’(x) = (ax^2 + bx + c) / (x^2 + 1)^2 where a, b, and c are constants to be found. What are the values of these constants?","a=-4, b=2, c=4","a=-2, b=4, c=4","a=-4, b=-2, c=4","a=-2, b=2, c=4"
Q001559,"The function \(f(x)\) is defined by \(f(x) = \frac{3x+2}{x^2+3}\). Its derivative is \(f’(x) = \frac{ax^2 + bx + c}{(x^2 + 3)^2}\) where \(a\), \(b\), and \(c\) are constants to be found. What are the values of these constants?","\(a=-3, b=-4, c=9\)","\(a=-2, b=-3, c=4\)","\(a=-3, b=4, c=9\)","\(a=-2, b=-4, c=4\)",A,A,7,4,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,"The function f(x) is defined by f(x) = (3x+2) / (x^2+3). Its derivative is f’(x) = (ax^2 + bx + c) / (x^2 + 3)^2 where a, b, and c are constants to be found. What are the values of these constants?","a=-3, b=-4, c=9","a=-2, b=-3, c=4","a=-3, b=4, c=9","a=-2, b=-4, c=4"
Q001560,"The function \(f(x)\) is defined by \(f(x) = \frac{5x-4}{x^2+2}\). Its derivative is \(f’(x) = \frac{ax^2 + bx + c}{(x^2 + 2)^2}\) where \(a\), \(b\), and \(c\) are constants to be found. What are the values of these constants?","\(a=-5, b=8, c=10\)","\(a=-4, b=8, c=9\)","\(a=-5, b=8, c=9\)","\(a=-4, b=9, c=10\)",A,A,7,4,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,"The function f(x) is defined by f(x) = (5x-4) / (x^2+2). Its derivative is f’(x) = (ax^2 + bx + c) / (x^2 + 2)^2 where a, b, and c are constants to be found. What are the values of these constants?","a=-5, b=8, c=10","a=-4, b=8, c=9","a=-5, b=8, c=9","a=-4, b=9, c=10"
Q001561,"The function \(f(x)\) is defined by \(f(x) = \frac{6x+1}{x^2+5}\). Its derivative is \(f’(x) = \frac{ax^2 + bx + c}{(x^2 + 5)^2}\) where \(a\), \(b\), and \(c\) are constants to be found. What are the values of these constants?","\(a=-6, b=-2, c=30\)","\(a=-5, b=-2, c=30\)","\(a=-6, b=2, c=30\)","\(a=-6, b=-2, c=20\)",A,A,7,4,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,"The function f(x) is defined by f(x) = (6x+1) / (x^2+5). Its derivative is f’(x) = (ax^2 + bx + c) / (x^2 + 5)^2 where a, b, and c are constants to be found. What are the values of these constants?","a=-6, b=-2, c=30","a=-5, b=-2, c=30","a=-6, b=2, c=30","a=-6, b=-2, c=20"
Q001562,"The function \(f(x)\) is defined by \(f(x) = \frac{7x-2}{x^2+6}\). Its derivative is \(f’(x) = \frac{ax^2 + bx + c}{(x^2 + 6)^2}\) where \(a\), \(b\), and \(c\) are constants to be found. What are the values of these constants?","\(a=-7, b=4, c=42\)","\(a=-6, b=4, c=42\)","\(a=-7, b=6, c=42\)","\(a=-7, b=4, c=40\)",A,A,7,4,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,"The function f(x) is defined by f(x) = (7x-2) / (x^2+6). Its derivative is f’(x) = (ax^2 + bx + c) / (x^2 + 6)^2 where a, b, and c are constants to be found. What are the values of these constants?","a=-7, b=4, c=42","a=-6, b=4, c=42","a=-7, b=6, c=42","a=-7, b=4, c=40"
Q001563,"The function \(f(x)\) is defined by \(f(x)=\frac{3x^2−2x+1}{x^3+2x}\). Its derivative is \(f′(x)=\frac{ax^4+bx^3+cx^2+dx+e}{(x^3+2x)^2}\) where \(a,b,c,d\), and \(e\) are constants to be found. What are the values of these constants?","\(a=-3, b=4, c=8, d=-6, e=0\)","\(a=-3, b=3, c=8, d=-6, e=1\)","\(a=-2, b=4, c=8, d=-5, e=0\)","\(a=-3, b=4, c=3, d=0, e=-2\)",D,D,7,5,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,"The function f(x) is defined by f(x)=(3x^2−2x+1)/(x^3+2x). Its derivative is f′(x)=(ax^4+bx^3+cx^2+dx+e)/(x^3+2x)^2 where a,b,c,d, and e are constants to be found. What are the values of these constants?","a=-3, b=4, c=8, d=-6, e=0","a=-3, b=3, c=8, d=-6, e=1","a=-2, b=4, c=8, d=-5, e=0","a=-3, b=4, c=3, d=0, e=-2"
Q001564,"The function \(f(x)\) is defined by \(f(x)=\frac{x^3−4x+2}{2x^2+3}\). Its derivative is \(f′(x)=\frac{ax^4+bx^3+cx^2+dx+e}{(2x^2+3)^2}\) where \(a,b,c,d\), and \(e\) are constants to be found. What are the values of these constants?","\(a=2, b=0, c=17, d=-8, e=-12\)","\(a=2, b=1, c=17, d=-8, e=-12\)","\(a=2, b=0, c=16, d=-8, e=-12\)","\(a=2, b=0, c=17, d=-7, e=-12\)",A,A,7,5,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,"The function f(x) is defined by f(x)=(x^3−4x+2)/(2x^2+3). Its derivative is f′(x)=(ax^4+bx^3+cx^2+dx+e)/(2x^2+3)^2 where a,b,c,d, and e are constants to be found. What are the values of these constants?","a=2, b=0, c=17, d=-8, e=-12","a=2, b=1, c=17, d=-8, e=-12","a=2, b=0, c=16, d=-8, e=-12","a=2, b=0, c=17, d=-7, e=-12"
Q001565,"The function \(f(x)\) is defined by \(f(x)=\frac{5x^3−2x^2+x}{x^4+1}\). Its derivative is \(f′(x)=\frac{ax^6+bx^5+cx^4+dx^3+ex^2+fx+g}{(x^4+1)^2}\) where \(a,b,c,d,e,f\) and \(g\) are constants to be found. What are the values of these constants?","\(a=-5, b=4, c=-3, d=0, e=15, f=-4, g=1\)","\(a=-5, b=4, c=-3, d=0, e=14, f=-4, g=0\)","\(a=-4, b=4, c=-3, d=0, e=15, f=-4, g=3\)","\(a=-5, b=3, c=-3, d=0, e=15, f=-4, g=14\)",A,A,7,5,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,"The function f(x) is defined by f(x)=(5x^3−2x^2+x)/(x^4+1). Its derivative is f′(x)=(ax^6+bx^5+cx^4+dx^3+ex^2+fx+g)/(x^4+1)^2 where a,b,c,d,e,f and g are constants to be found. What are the values of these constants?","a=-5, b=4, c=-3, d=0, e=15, f=-4, g=1","a=-5, b=4, c=-3, d=0, e=14, f=-4, g=0","a=-4, b=4, c=-3, d=0, e=15, f=-4, g=3","a=-5, b=3, c=-3, d=0, e=15, f=-4, g=14"
Q001566,"The function \(f(x)\) is defined by \(f(x)=\frac{7x^2−3x+2}{x^3+x^2−1}\). Its derivative is \(f′(x)=\frac{ax^5+bx^4+cx^3+dx^2+ex+f}{(x^3+x^2−1)^2}\) where \(a,b,c,d,e\), and \(f\) are constants to be found. What are the values of these constants?","\(a=0, b=-7, c=6, d=-3, e=-18, f=6\)","\(a=0, b=-7, c=6, d=-3, e=-18, f=3\)","\(a=0, b=-7, c=6, d=3, e=-18, f=3\)","\(a=0, b=-7, c=-4, d=10, e=-8, f=3\)",B,B,6,6,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,"The function f(x) is defined by f(x)=(7x^2−3x+2)/(x^3+x^2−1). Its derivative is f′(x)=(ax^5+bx^4+cx^3+dx^2+ex+f)/(x^3+x^2−1)^2 where a,b,c,d,e, and f are constants to be found. What are the values of these constants?","a=0, b=-7, c=6, d=-3, e=-18, f=6","a=0, b=-7, c=6, d=-3, e=-18, f=3","a=0, b=-7, c=6, d=3, e=-18, f=3","a=0, b=-7, c=-4, d=10, e=-8, f=3"
Q001567,"The function \(f(x)\) is defined by \(f(x)=\frac{4x^2−5x+3}{x^4+2x^2+1}\). Its derivative is \(f′(x)=\frac{ax^6+bx^5+cx^4+dx^3+ex^2+fx+g}{(x^4+2x^2+1)^2}\) where \(a,b,c,d,e,f\), and \(g\) are constants to be found. What are the values of these constants?","\(a=0, b=-8, c=15, d=-12, e=10, f=-4, g=-5\)","\(a=-4, b=6, c=-5, d=0, e=8, f=-3, g=1\)","\(a=0, b=6, c=-5, d=0, e=8, f=-3, g=-5\)","\(a=-4, b=6, c=-4, d=0, e=8, f=-3, g=2\)",A,A,6,6,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,"The function f(x) is defined by f(x)=(4x^2−5x+3)/(x^4+2x^2+1). Its derivative is f′(x)=(ax^6+bx^5+cx^4+dx^3+ex^2+fx+g)/(x^4+2x^2+1)^2 where a,b,c,d,e,f, and g are constants to be found. What are the values of these constants?","a=0, b=-8, c=15, d=-12, e=10, f=-4, g=-5","a=-4, b=6, c=-5, d=0, e=8, f=-3, g=1","a=0, b=6, c=-5, d=0, e=8, f=-3, g=-5","a=-4, b=6, c=-4, d=0, e=8, f=-3, g=2"
Q001568,Given \(g(x)= 8\ln(x)\). Find \(g'(x)\),\(\frac{8}{x}\),\(8x^(2)\),\(\frac{8}{x^(2)}\),\(8x\),A,A,5,3,yes,chatgpt isn't providing correct answers,Differentiation,,,,,,,,,,Differentiation,,,,,,Given g(x)= 8ln(x). Find g'(x),8/x,8x^(2),8/(x^(2)),8x
Q001569,\(\frac{d}{dx}(\ln(x^2+3x))\) is:,\(\frac{2x}{x^2+3x}\),\(\frac{2x+3}{x^2+3x}\),\(\frac{x^2+3x}{x}\),\(\frac{x}{x^2+3x}\),B,B,5,4,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,d/dx(ln(x^2+3x)) is:,2x/(x^2+3x),(2x+3)/(x^2+3x),(x^2+3x)/x,x/(x^2+3x)
Q001570,\(\frac{d}{dx}(e^(2x+3)\) is:,\(2e^(2x+3)\),\(e^(2x+9)\),\(2e^(3x+3)\),\(e^(2x-3)\),A,A,7,6,yes,,Differentiation,Differentiation - Basic differentiation,,,,,,,,,Differentiation,Differentiation - Basic differentiation,,,,,d/dx(e^(2x+3) is:,2e^(2x+3),e^(2x+9),2e^(3x+3),e^(2x-3)
Q001571,"The function is defined by \(f(x) = \frac{2x-3}{x^2 -4}\). Using differentiation, which of the following represents the values of \(x\) for which the function is decreasing?",\(f(x)\) always decreasing,\(x>-1\) or \(x<4\),\(x= math error\),\(f(x)\) always increasing,A,A,6,6,yes,chatgpt only produced wrong answers so had to change all,Differentiation,,,,,,,,,,Differentiation,,,,,,"The function is defined by f(x) = (2x-3)/(x^2 -4). Using differentiation, which of the following represents the values of x for which the function is decreasing? ",f(x) always decreasing,x>-1 or x<4,x= math error,f(x) always increasing
Q001572,"Given \(𝑓(𝑥)=𝑒^(4𝑥^(2)−1)\), which of the following represents \(𝑓′(𝑥)\)?",\(8xe^(4x^(2)−1)\),\(8xe^(4x-1)\),\(8x\),\(e^(4x^(2)-1)\),A,A,5,5.5,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,"Given 𝑓(𝑥)=𝑒^(4𝑥^(2)−1), which of the following represents 𝑓′(𝑥)?","8xe^(4x^(2)−1)
 ",8xe^(4x-1),8x,e^(4x^(2)-1)
Q001573,"\(f(x)=e^(4x^(2)-1)\), \(g(x) = 8\ln(x)\) where \(x>0\). Given \(f'(x)= g'(x)\) at \(x=a\) find the equation in the form \(cx^(2)+d\ln(x)-1=0\)",\(c= 4 d=2\),\(c=2 d=4\),\(c= 1 d=2\),\(c=2 d=1\),A,A,7,6,yes,chatgpt isn't providing correct answers,Differentiation,,,,,,,,,,Differentiation,,,,,,"f(x)=e^(4x^(2)-1), g(x) = 8ln(x) where x>0. Given f'(x)= g'(x) at x=a find the equation in the form cx^(2)+dln(x)-1=0",c= 4 d=2,c=2  d=4,c= 1 d=2,c=2  d=1
Q001574,\(\frac{d}{dx}(3x^2+4x)\) is:,\(6x+4\),\(3x^2+4\),\(6x+4x\),\(6x^2+4x\),A,A,3,2,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,d/dx(3x^2+4x) is:,6x+4,3x^2+4,6x+4x,6x^2+4x
Q001575,\(\frac{d}{dx}(\frac{1}{x^2})\) is:,\(-\frac{1}{x^3}\),\(\frac{2}{x^3}\),\(\frac{2}{x^3}\),\(-\frac{2}{x^3}\),D,D,3,2,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,d/dx(1/x^2) is:,-1/x^3,2/x^3,2/x^3,-2/x^3
Q001576,\(\frac{d}{dx}(x^3+2x^2+3x)\) is:,\(3x^2+4x+3\),\(3x^2+2x+3\),\(3x^2+4x+3x\),\(x^3+2x^2+3\),A,A,4,3,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,d/dx(x^3+2x^2+3x) is:,3x^2+4x+3,3x^2+2x+3,3x^2+4x+3x,x^3+2x^2+3
Q001577,\(\frac{d}{dx}(\sin(x^2))\) is:,\(2x\cos(x^2)\),\(2x\sin(x^2)\),\(x\cos(x^2)\),\(x\sin(x^2)\),A,A,6,5,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,d/dx(sin(x^2)) is:,2xcos(x^2),2xsin(x^2),xcos(x^2),xsin(x^2)
Q001578,"Using the chain rule, what is the differential of \(\frac{d}{dx}(\ln(x^3))\)",\(\frac{3}{x^2}\),\(\frac{3}{x}\),\(\frac{2x}{x^3}\),\(\frac{1}{x}\),B,B,6,4,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,"Using the chain rule, what is the differential of d/dx(ln(x^3))",3/x^2,3/x,2x/x^3,1/x
Q001579,"Using the chain rule, what is the differential of \(\frac{d}{dx}(e^(2x+1))\)",\(2e^(2x+1)\),\(e^(2x+1)\),\(3e^(2x+1)\),\(4e^(2x+1)\),A,A,6,4,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,"Using the chain rule, what is the differential of d/dx(e^(2x+1))",2e^(2x+1),e^(2x+1),3e^(2x+1),4e^(2x+1)
Q001580,"Using the chain rule, what is the differential of \(\frac{d}{dx}(\sin(2x^2))\)",\(4x\cos(2x^2)\),\(2x\sin(2x^2)\),\(4x^2\cos(2x^2)\),\(4x^2\sin(2x^2)\),A,A,6,4,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,"Using the chain rule, what is the differential of d/dx(sin(2x^2))",4xcos(2x^2),2xsin(2x^2),4x^2cos(2x^2),4x^2sin(2x^2)
Q001581,"Using the chain rule, what is the differential of \(\frac{d}{dx}(\cos(3x^3))\)",\(-3x^2\sin(3x^3)\),\(-3x^2\cos(3x^3)\),\(-9x^2\sin(3x^3)\),\(-9x^2\cos(3x^3)\),C,C,6,4,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,"Using the chain rule, what is the differential of d/dx(cos(3x^3))",-3x^2sin(3x^3),-3x^2cos(3x^3),-9x^2sin(3x^3),-9x^2cos(3x^3)
Q001582,"Using the chain rule, what is the differential of \(\frac{d}{dx}(x^4 \ln(x))\)",\(4x^3\ln(x) + \frac{x^4}{x}\),\(4x^3\ln(x) + x^3\),\(4x^3\ln(x) + x^4\),\(4x^3\ln(x) + x^4\ln(x)\),B,B,6,4,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,"Using the chain rule, what is the differential of d/dx(x^4 ln(x))",4x^3ln(x) + x^4/x,4x^3ln(x) + x^3,4x^3ln(x) + x^4,4x^3ln(x) + x^4ln(x)
Q001583,"Using the chain rule, what is the differential of \(\frac{d}{dx}(\sin(4x^2))\)",\(-8x\cos(4x^2)\),\(8x\cos(4x^2)\),\(-8x^2\cos(4x^2)\),\(8x^2\sin(4x^2)\),B,B,6,4,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,"Using the chain rule, what is the differential of d/dx(sin(4x^2))",-8xcos(4x^2),8xcos(4x^2),-8x^2cos(4x^2),8x^2sin(4x^2)
Q001584,"Using the chain rule, what is the differential of \(\frac{d}{dx}(e^(3x))\)",\(3e^(3x)\),\(3x^2e^(3x)\),\(e^(3x)\),\(x^2e^(3x)\),A,A,6,4,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,"Using the chain rule, what is the differential of d/dx(e^(3x))",3e^(3x),3x^2e^(3x),e^(3x),x^2e^(3x)
Q001585,"Using the chain rule, what is the differential of \(\frac{d}{dx}(\ln(5x^4))\)",\(\frac{20x^3}{\ln(5x^4)}\),\(\frac{x^4}{\ln(2x^4)}\),\(\frac{1}{x^4}\),\(\frac{4}{\ln(5x^3)}\),A,A,7,5,yes,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,"Using the chain rule, what is the differential of d/dx(ln(5x^4))",(20x^3)/ln(5x^4),x^4/ln(2x^4),1/x^4,4/ln(5x^3)
Q001586,\(\frac{d}{dx}(5^x)\) is:,\((\ln5) 5^x\),\(\ln(5^x)\),\(-5^x\ln(5)\),\(e^x\ln(5)\),A,A,8,7,yes,"let y=5^x 

ln y =ln5^x =xln5
then differentiate
",Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,,,,,Differentiation,Differentiation - Chain/Product/Quotient Rule,,,,,d/dx(5^x) is:,(ln5) 5^x,ln(5^x),-5^xln(5),e^xln(5)
Q001587,Find \(\frac{dy}{dx}\) when \(y=2x^2 -6x+3\),\(2x^2+3\),\(2x+3\),\(4x-6\),\(2x^2+6\),C,C,2,1,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,Find dy/dx when y=2x^2 -6x+3,2x^2+3,2x+3,4x-6,2x^2+6
Q001588,Find \(\frac{dy}{dx}\) when \(y=3x^2-7x+12\),\(6x-7\),\(7x-8\),\(6x+9\),\(-6x+7\),A,A,2,1,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,Find dy/dx when y=3x^2-7x+12,6x-7,7x-8,6x+9,-6x+7
Q001589,Find \(\frac{dy}{dx}\) when \(y=\frac{3}{4}x^2 +\frac{1}{2}x -1\),\(\frac{1}{4} (3x-1)\),\(\frac{1}{4} (3x-2)\),\(\frac{1}{4} (3x-1)\),\(\frac{1}{2} (3x+1)\),D,D,2,1,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,Find dy/dx when y=(3/4)x^2 +1/2x -1,1/4 (3x-1),1/4 (3x-2),1/4 (3x-1),1/2 (3x+1)
Q001590,Find \(\frac{dy}{dx}\) when \(y=4x^2-5x+9\),\(5x-9\),\(8x-5\),\(4x-5\),\(4x-9\),B,B,2,1,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,Find dy/dx when y=4x^2-5x+9,5x-9,8x-5,4x-5,4x-9
Q001591,Find \(\frac{dy}{dx}\) when \(y=5x^2-6x+11\),\(6x+11\),\(5x-6\),\(10x-12\),\(10x-6\),D,D,2,1,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,Find dy/dx when y=5x^2-6x+11,6x+11,5x-6,10x-12,10x-6
Q001592,Find \(\frac{dy}{dx}\) when \(y=2x^2-4x+5\),\(2x+5\),\(-4x+5\),\(4x-4\),\(2x-4\),C,C,2,1,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,Find dy/dx when y=2x^2-4x+5,2x+5,-4x+5,4x-4,2x-4
Q001593,Find \(\frac{dy}{dx}\) when \(y=7x^2-8x+6\),\(14x-6\),\(14x-8\),\(-8x+6\),\(6x-8\),B,B,2,1,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,Find dy/dx when y=7x^2-8x+6,14x-6,14x-8,-8x+6,6x-8
Q001594,Find \(\frac{dy}{dx}\) when \(y=6x^2-5x+10\),\(12x-5\),\(12x-10\),\(-5x+10\),\(6x+10\),A,A,2,1,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,Find dy/dx when y=6x^2-5x+10,12x-5,12x-10,-5x+10,6x+10
Q001595,The curve with equation \(y=6x^2-5x+3\) has gradient \(-29\) when \(x=p\). Find the value of \(p\).,\(-3\),\(-7\),\(-2\),\(-8\),C,C,4,3,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,The curve with equation y=6x^2-5x+3 has gradient -29 when x=p. Find the value of p. ,-3,-7,-2,-8
Q001596,The curve with equation \(y=5x^2-9x+1\) has gradient \(-16\) when \(x=p\). Find the value of \(p\).,\(-\frac{1}{10}\),\(-\frac{9}{10}\),\(-\frac{7}{10}\),\(-\frac{3}{10}\),C,C,4,3,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,The curve with equation y=5x^2-9x+1 has gradient -16 when x=p. Find the value of p. ,-1/10,-9/10,-7/10,-3/10
Q001597,The curve with equation \(y=4x^2-7x+2\) has gradient \(-23\) when \(x=p\). Find the value of \(p\).,\(-1\),\(-2\),\(-5\),\(-6\),B,B,4,3,yes,,Differentiation,,,,,,,,,,Differentiation,,,,,,The curve with equation y=4x^2-7x+2 has gradient -23 when x=p. Find the value of p. ,-1,-2,-5,-6
